cseq;컨텐츠아이디;캠핑장이름;useyn
1;10;(주)아웃오브파크;y
2;100000;파크킹;y
3;100001;봉즈살롱;y
4;100002;힐링피아 카라반 글램핑 풀 캠핑장;y
5;100003;우니메이카 태안점;y
6;100004;뇌운계곡글램핑;y
7;100005;충주 비내캠프 체험학습장;y
8;100006;솔비치캠핑장;y
9;100007;가온오토캠핑장;y
10;100008;림스 글램핑;y
11;100009;호미곶유니의바다 카라반캠핑장;y
12;100010;예손캠핑장;y
13;100011;(주)웨이브파크;y
14;100012;포에스카라반파크;y
15;100013;약수동산;y
16;100014;학암포글램핑;y
17;100015;더예감스테이;y
18;100016;캠프더포레;y
19;100017;태그하우스;y
20;100019;양지뜰캠핑장;y
21;100020;우리들캠핑장;y
22;100021;밤벌캠핑장;y
23;100022;청춘캠핑장;y
24;100023;단아한;y
25;100025;고래불해수욕장(병곡지구) 야영장;y
26;100026;다시캠핑장;y
27;100027;산내들캠프;y
28;100028;고래불해수욕장(영리지구) 야영장;y
29;100029;빗소리야영장;y
30;100031;화성시 매송 오토캠핑장;y
31;100032;캠핑느루;y
32;100033;자작도캠핑장;y
33;100035;오렌지캠프;y
34;100036;웰니스 권역 야영장;y
35;100037;캠프고일리;y
36;100038;하늘아래 야영장;y
37;100039;명파리해변야영장;y
38;100040;경주 캠핑573;y
39;100041;염전해변캠핑장;y
40;100042;월성자연캠핑야영장;y
41;100043;백석탄골부리캠핑장;y
42;100044;박달재초록꿈캠핑체험장;y
43;100045;읍내리 75-1 캠핑장;y
44;100046;바다야영장;y
45;100047;성요셉치유마을 야영장;y
46;100048;변산해수욕장 야영장;y
47;100049;천주봉 캠핑장;y
48;100053;FLOW 11 야영장;y
49;100054;우니메이카 산청점;y
50;100056;운악산 글램핑;y
51;100057;수원 솔내음 캠핑장;y
52;100058;월악파머스캠핑장;y
53;100061;서리실 힐링 가족캠핑장;y
54;100062;하늘땅카라반;y
55;100064;노랑카라반;y
56;100065;세움내움;y
57;100066;포천 글램파크 캠핑장;y
58;100067;화천드림캠핑장;y
59;100068;담터오지글램핑;y
60;100069;메이플글램핑&카라반;y
61;100070;신두57캠핑&글램핑;y
62;100071;민트글램핑;y
63;100072;에프앤에프캠핑;y
64;100073;카이로스오토야영장;y
65;100074;한마음캠핑플레이스;y
66;100075;남해금산오토캠핑장;y
67;100076;알로프랑스;y
68;100077;야한 캠핑장;y
69;100078;소노팜;y
70;100080;홍천 반딧불캠핑장;y
71;100081;영흥도어울림캠핑장;y
72;100082;당사현대차오션캠프;y
73;100083;파인벨리펜션 글램핑 2호점;y
74;100084;숲이야기;y
75;100085;큰빛내 야영장;y
76;100086;노마드글램핑;y
77;100087;하얀보트;y
78;100088;은하수 관광농원;y
79;100089;백암온천마을 영농조합법인 야영장;y
80;100090;가리벨리캠핑장;y
81;100091;에이미캠핑장;y
82;100093;비토애글램핑2호점(BITOLUV GLAMPING Season2);y
83;100094;캠핑679;y
84;100095;더모스트 글램핑;y
85;100096;젠틀펫 파라다이스;y
86;100097;아이프로방스;y
87;100098;사천 케이블카 자연휴양림;y
88;100099;진악산오토캠핑장;y
89;100100;라라캠핑장;y
90;100101;속리산풍경캠핑장;y
91;100102;오색 산새소리캠핑장;y
92;100103;파주캠핑장;y
93;100104;느티담길 캠핑장;y
94;100105;이천 인휴 글램핑;y
95;100106;속리산 시어동 캠핑장;y
96;100107;바다다 캠핑장;y
97;100108;대룡산 오토캠핑장;y
98;100109;무수아취;y
99;100110;오늘 여기 카라반;y
100;100111;캠프 올모;y
101;100112;스타밸리캠핑장;y
102;100113;힐사이드인가평 글램핑&캠핑;y
103;100114;천지 글램핑;y
104;100115;비건캠핑;y
105;100117;별밤캠핑장;y
106;100118;동산오토캠핑장;y
107;100119;글램핑포엠;y
108;100120;캠프파크 자동차 야영장;y
109;100121;다울관광농원 야영장;y
110;100122;라피;y
111;100123;아리아리 숲속의 야영장;y
112;100124;느루 캠핑장;y
113;100125;우니메이카 단양점;y
114;100126;수리바위 캠핑정원;y
115;100127;더오창호;y
116;100128;숲속의아침;y
117;100129;둥지캠핑장;y
118;100130;개랭이 오토 캠핑장;y
119;100131;또바기 스파글램핑;y
120;100132;에코팜 부설 오토캠핑장;y
121;100133;한별 도그파크;y
122;100134;양양 솔바다 캠핑장;y
123;100135;곰섬캠핑장 2구역;y
124;100136;노문 야영장;y
125;100137;부엉캠핑클럽;y
126;100138;구화산BBQ;y
127;100139;지리산365오토캠핑펜션;y
128;100140;땡땡이글램핑;y
129;100141;달빛정원글램핑&카라반;y
130;100142;산내956;y
131;100143;포천 라온글램핑&오토캠핑장;y
132;100144;인천청라국제도시 해변공원캠핑장;y
133;100145;무수캠핑장;y
134;100146;세븐캠핑장;y
135;100147;아우내관광농원캠핑장;y
136;100148;레끄레오캠핑장;y
137;100149;아메리카 RV CAMP PARK;y
138;100150;엠와이힐링캠핑장;y
139;100151;운악184;y
140;100152;나무야나무야캠핑장;y
141;100153;우니메이카 철원점;y
142;100154;꾸네오 캠핑장;y
143;100155;그리심 글램핑장;y
144;100156;리틀보이 캠핑장;y
145;100157;가평 글램핑 사그막 끝마을;y
146;100158;아틴마루 야영장;y
147;100159;보물나라캠프;y
148;100160;별내린캠핑;y
149;100161;스톤 캠핑장;y
150;100162;드론스포츠코리아;y
151;100163;평화숲;y
152;100164;파주 눌노리 체험 캠핑장;y
153;100165;산앤호반 캠핑장;y
154;100166;몽리치;y
155;100167;스테이 272;y
156;100168;솔부엉이 캠핑장;y
157;100169;영흥소장골야영장;y
158;100170;사발소캠핑장;y
159;100171;영흥도십리포캠핑장;y
160;100172;하비비캠핑장;y
161;100173;스테리움 제천;y
162;100174;봄봄캠핑;y
163;100175;산속에 관광농원;y
164;100176;화양숲노리캠핑장;y
165;100177;양양고인돌캠프;y
166;100178;정선 도원펜션&캠핑장;y
167;100179;영월가자 펜션&캠핑장;y
168;100181;캠프여주;y
169;100182;솔가람 캠핑장;y
170;100183;라이프위드도그;y
171;100184;메기의 추억;y
172;100185;아름다운 농원;y
173;100186;(가)꽃향기;y
174;100187;자연과힐링;y
175;100188;황우거주식회사;y
176;100189;카캠 그라운드;y
177;100190;솔잎향캠핑파크;y
178;100191;화순돔아일랜드;y
179;100192;라라캠핑장;y
180;100193;선장포협동조합;y
181;100194;더존 관광농원;y
182;100195;물바람캠핑장;y
183;100196;을왕리 솔트 캠핑장;y
184;100197;(주)백동소풍가는길;y
185;100198;오아시스정글;y
186;100199;사노리숲캠핑장;y
187;100200;별밤 글램핑;y
188;100201;글램인스타;y
189;100202;가평조이글램핑;y
190;100203;둥그레휴양마을;y
191;100204;캠프 고토일;y
192;100205;마을야영장, 침산추월;y
193;100206;경상북도교육청김천오토캠핑장	;y
194;100207;호두마루글램핑;y
195;100208;차밍캠핑;y
196;100209;관광농원금산만악리수목원오토캠핑장;y
197;100210;그린앤블루;y
198;100211;카라반파크 아마존;y
199;100212;밀양 도깨비방망이 캠핑장;y
200;100213;명덕농원;y
201;100215;교육가족체험장;y
202;100216;장흥군 수문랜드 블루투어;y
203;100217;김천실내테니스장 & 김천오토캠핑장;y
204;100218;김천맑은계곡 오토캠핑장;y
205;100219;우니메이카 당진점;y
206;100220;호미곶 고래마을 캠핑장;y
207;100221;그자리 야영장;y
208;100222;우니메이카 안동점;y
209;100223;팔공 쉼터 야영장;y
210;100224;우니메이카 밀양점;y
211;100225;하늘빛;y
212;100227;르쏠레이475카페 야영장;y
213;100228;경상북도교육청 포항산누리오토캠핑장;y
214;100230;스칼라캠프장;y
215;100231;가평 리오카라반;y
216;100232;라온힐야영장;y
217;100233;해밀터;y
218;100234;산마루카라반;y
219;100235;위더스글램핑;y
220;100236;윤 오토캠핑장;y
221;100237;강변글램핑;y
222;100238;카사비앙카;y
223;100239;단아하우스;y
224;100240;이숲e랜드 야영장;y
225;100241;담터라온글램핑;y
226;100242;라라플레이스;y
227;100243;캐닌힐스(CANINHILLS);y
228;100244;폴라데이 캠핑장;y
229;100245;남해 힐링국민여가캠핑장;y
230;100246;펫앤트리;y
231;100247;남한산성 캠핑장;y
232;100248;선재해림 카라반;y
233;100249;철원포레스트;y
234;100250;매향 오토 캠핑장;y
235;100251;거금도 청석 오토캠핑장;y
236;100252;영덕 디아로 글램핑장;y
237;100253;쿠 야영장;y
238;100254;공둘 캠핑장(02);y
239;100255;월명612;y
240;100256;우리오토캠핑장;y
241;100257;심천치유자연휴양림야영장;y
242;100258;배방관광농원;y
243;100259;용소유원지 야영장;y
244;100260;일상화 글램핑;y
245;100261;트멍 캠핑장;y
246;100262;호랑이캠핑;y
247;100263;금옥골 숲속작은마을;y
248;100264;대장이랜드 농촌체험휴양마을;y
249;100265;캠프627;y
250;100266;안면도마린오토캠핑장;y
251;100267;경상북도교육청 영덕오토캠핑장;y
252;100268;더파인캠핑;y
253;100269;초리풍경;y
254;100270;오블리비아테;y
255;100271;진천포레스트캠핑장;y
256;100272;더 하루만 캠핑장;y
257;100273;숲에안기다;y
258;100274;나정고운모래해변 오토캠핑장;y
259;100275;마린힐캠핑장;y
260;100276;청계호수 자작나무숲 캠핑장;y
261;100277;모란골관광농원;y
262;100278;더빌리지캠핑장;y
263;100279;황토둥지캠핑체험장;y
264;100280;휘명빌리지;y
265;100281;솔내음캠핑장;y
266;100282;주원캠핑장;y
267;100283;리버앤캠프;y
268;100284;꽃댕이오토캠핑장;y
269;100285;한산도 충무공교실 야영장;y
270;100286;준삼형제글램핑;y
271;100287;캠프게이트 청평 카라반&캠핑;y
272;100288;글램조이(GLAMJOI);y
273;100289;가델관광농원;y
274;100290;위드독스in포천;y
275;100291;썬오브글램핑;y
276;100292;(주)더사칠공 야영장;y
277;100293;캠앤캠아지트;y
278;100294;해가빛 캠핑장;y
279;100295;원산도비치캠핑장;y
280;100296;여수경도펜션카라반;y
281;100297;양평온누리캠핑장;y
282;100298;캠핑808;y
283;100299;두부삼촌캠프;y
284;100300;사계오토캠핑장;y
285;100301;속리산365캠핑장;y
286;100302;아린 글램핑;y
287;100303;영월 엄둔밸리 계곡캠핑장 ;y
288;100304;약초농원 야영장;y
289;100305;부싯돌 캠핑;y
290;100306;반가운캠핑장;y
291;100307;포레스트힐링캠프;y
292;100308;지맨 카라반파크;y
293;100309;해그라미;y
294;100311;캠핑스토리;y
295;100312;호노골 캠핑장;y
296;100313;오롯하다 키즈글램핑 가평;y
297;100314;누리별 캠핑장;y
298;100315;별빛뜰애;y
299;100316;옥천1382;y
300;100317;제천J글램핑;y
301;100318;캠프 애니말;y
302;100319;하선암 카라반 야영장;y
303;100320;고성 탑 글램핑 농원;y
304;100321;까치산 체험관광농원;y
305;100322;7BLOCK(세븐블럭);y
306;100323;달사랑 캠핑장;y
307;100324;어썸캠핑장;y
308;100325;아우어캄푸스;y
309;100326;K-글램핑 애월점;y
310;100327;토마스캠프&레드캐빈;y
311;100328;한천관광농원야영장;y
312;100329;어은돌힐링야영장;y
313;100330;어은돌오토캠핑장;y
314;100331;용바위야영장;y
315;100332;하동하늘숲캠핑장;y
316;100333;홍스랜드 글램핑;y
317;100334;포유카라반파크;y
318;100335;오솔길 오토 캠핑장;y
319;100336;안성 별숲 캠핑장;y
320;100337;따봄;y
321;100338;경산 갓바위캠핑장;y
322;100339;부항댐 생태휴양펜션;y
323;100340;유명산밸리 캠핑장;y
324;100341;나아정;y
325;100342;골드바베큐 당일캠핑장;y
326;100343;코코캠핑;y
327;100344;숲속에 머물다;y
328;100345;고든남 글램핑 & 셀프바베큐;y
329;100346;캠프 오어즈;y
330;100347;한자루체험농원(휴앤아크);y
331;100348;산들내캠핑장;y
332;100349;청포대 일등캠핑장;y
333;100350;삼척안뜰캠핑장;y
334;100351;엉클킴스 캠핑장;y
335;100352;곡성달빛 야영장;y
336;100353;프라이빗 캠프닉;y
337;100354;소풍;y
338;100355;팜앤투어 캠핑장;y
339;100356;리틀 포레스트 캠핑;y
340;100357;유명산 258;y
341;100358;대야산 오토 캠핑장;y
342;100359;캠핑플레이스 포천점;y
343;100360;세이지 힐 캠핑장;y
344;100361;리앤업파크타운;y
345;100362;산바다 캠핑장;y
346;100363;펜캠2495체험학교;y
